name,address,type,opened,closed,borough,date_approx
Washington Square Park,"Washington Square, New York, NY 10012",cruising,1890,1970,Manhattan,yes
Pompier Restaurant,"82 W 3rd St, New York, NY 10012",restaurant,1960,1967,Manhattan,no
Claret Baths,"1415 Riegelmann Boardwalk, Brooklyn, NY 11224",baths,1960,1970,Brooklyn ,yes
Bon Soir,"40 W 8th St, New York, NY 10011",club,1950,1970,Manhattan,yes
Corduroy Club,"240 W 38th St, New York, NY 10018",porn-theatre/cruising,1967,1971,Manhattan,no
Seventeen Barrow Street,"17 Barrow St, New York, NY 10014",bar,1968,1971,Manhattan,yes
P.M.,"204 E 18th St, Brooklyn, NY 11226",bar,1968,1971,Manhattan,yes
The Snake Pit,"215 W 10th St, New York, NY 10014",bar,1970,1971,Manhattan,yes
Pauline's Interlude,"2267 7th Ave, New York, NY 10027",bar,1968,1971,Manhattan,yes
Moroccan Village,"23 W 8th St, New York, NY 10011",bar/club,1968,1971,Manhattan,yes
Bali Club,"234 W 50th St, New York, NY 10019",bar/club,1968,1971,Manhattan,yes
The Nautilus,"267-269 W 23rd St, New York, NY 10011",bar/restaurant,1968,1971,Manhattan,yes
The Gold Rail,"2850 Broadway, New York, NY 10025",bar,1968,1971,Manhattan,yes
Steve Carney's,"2nd Ave & E 80th St, New York, NY 10075",bar,1968,1971,Manhattan,yes
The Bridge,"335 E 58th St, New York, NY 10022",bar ,1968,1971,Manhattan,yes
L'Intrigue,"35 W 56th St, New York, NY 10019",bar,1968,1971,Manhattan,yes
Red Swing,"57 Lexington Ave, New York, NY 10016",bar,1968,1971,Manhattan,yes
Plaza Hotel Men's Bar,"5th Ave & Central Park S, New York, NY 10019",bar,1968,1971,Manhattan,yes
Washington Square,"675 Broadway, New York, NY 10012",bar,1968,1971,Manhattan,yes
Gantry,"6th Ave & W 13th St, New York, NY 10011",bar,1968,1971,Manhattan,yes
Pam-Pam,"95 7th Ave, New York, NY 10011",bar,1968,1971,Manhattan,yes
Four Seasons,"99 E 52nd St, New York, NY 10022",bar,1968,1971,Manhattan,yes
Two Turtles,"E 27th St & Park Ave S, New York, NY 10010",bar,1968,1971,Manhattan,yes
Sea Colony,"Horatio St & 8th Ave, New York, NY 10014",bar,1968,1971,Manhattan,yes
Faller's Bar,"West St & Christopher St, New York, NY 10014",bar,1968,1971,Manhattan,yes
Charade Club,"2nd Ave & E 93rd St, New York, NY 10128",club,1968,1971,Manhattan,yes
Crazy Horse,"149 Bleecker St, New York, NY 10012",club,1968,1971,Manhattan,yes
Sutton East,"330 E 56th St, New York, NY 10022",hotel,1968,1971,Manhattan,yes
The Planetarium,"181 2nd Ave, New York, NY 10003",club,1970,1971,Manhattan,yes
The Year 2000,"318 W 49th St, New York, NY 10019",club,1970,1971,Manhattan,yes
Zodiac Uptown,"1487 1st Ave, New York, NY 10075",club,1970,1971,Manhattan,yes
Tenth of Always,"82 W 3rd St, New York, NY 10012",juice-bar,1968,1972,Manhattan,no
Luigi II,"104 W 13th St, New York, NY 10011",restaurant,1971,1972,Manhattan,yes
Lion's,"105 W 13th St, New York, NY 10011",bar,1971,1972,Manhattan,yes
The Turn-Over,"105 W 13th St, New York, NY 10011",bar,1971,1972,Manhattan,yes
Charlie's Also,"1154 1st Ave, New York, NY 10065",bar,1971,1972,Manhattan,yes
GoldDiggers,"1234 2nd Ave, New York, NY 10065",bar,1971,1972,Manhattan,yes
Circus Lounge,"1369 Flatbush Ave, Brooklyn, NY 11210",restaurant,1971,1972,Manhattan,yes
Outcast,"1382 2nd Ave, New York, NY 10021",bar,1971,1972,Manhattan,yes
The Striped Shirt,"1393 2nd Ave, New York, NY 10021",restaurant,1971,1972,Manhattan,yes
New Danny's St Sheridan SG,"140 Sheridan Square, New York, NY 10014",bar/club,1971,1972,Manhattan,yes
Fiddle Stix,"1487 1st Ave, New York, NY 10075",bar,1971,1972,Manhattan,yes
Kookie's,"149 West 14th St, New York, NY 10011",bar,1968,1972,Manhattan,yes
Hot Line,"1544 12th Ave, New York, NY 10036",restaurant,1971,1972,Manhattan,yes
Alibi,"1544 2nd Ave, New York, NY 10028",bar,1971,1972,Manhattan,yes
Male Box,"1716 2nd Avenue, New York, NY 10128",restaurant,1971,1972,Manhattan,yes
Squires: Nook,"18 E 13th St, New York, NY 10003",bar,1971,1972,Manhattan,yes
Sugar's,"183 W 10th St, New York, NY 10014",bar,1972,1972,Manhattan,yes
Monte Casino,"185 Montague St Brooklyn, NY 11201",bar,1971,1972,Brooklyn,yes
Howie's Hide-A-Way,"185 W 10th St, New York, NY 10014",bar,1971,1972,Manhattan,yes
Penny Lane,"220 W 49th St, New York, NY 10019",bar,1971,1972,Manhattan,yes
Sombrero,"253-32 Northern Blvd Flushing, NY 11362",bar,1971,1972,Queens,yes
Al Buon Gusto,"257 Columbus Ave, New York, NY 10023",restaurant,1971,1972,Manhattan,yes
Milano's Lounge,"267 Amsterdam Ave, New York, NY 10023",bar,1968,1972,Manhattan,yes
Mona's Royal Roost,"28 Cornelia St, New York, NY 10014",bar,1971,1972,Manhattan,yes
12th Night,"281 W 12th St, New York, NY 10014",bar,1971,1972,Manhattan,yes
Fireside,"30-5 Astoria Blvd Astoria, NY 11102",bar,1971,1972,Queens,yes
Stage 45,"305 W 45th St, New York, NY 10036",bar,1968,1972,Manhattan,yes
Sugarman,"350 E 81st St, New York, NY 10028",bar,1971,1972,Manhattan,yes
Three Jolly Pigeons,"37-21 Greenpoint Ave Queens, NY 11101",bar,1971,1972,Queens,yes
Sanctuary,"407 West 43rd St, New York, NY 10036",bar,1971,1972,Manhattan,yes
Meat Rack,"500 W 14th St, New York, NY 10014",bar,1971,1972,Manhattan,yes
The Wine Cellar,"531 Hudson St, New York, NY 10014",bar,1971,1972,Manhattan,yes
Loading Zone,"568 9th Ave, New York, NY 10036",bar,1971,1972,Manhattan,yes
Leo's Lion,"57 Lexington Ave, New York, NY 10016",bar,1971,1972,Manhattan,yes
Siro's,"58 E 53rd St, New York, NY 10022",bar,1971,1972,Manhattan,yes
Fountain Blue,"69-05 Queens Blvd Woodside, NY 11377",bar,1971,1972,Queens,yes
Sammy's Folly,"73 5th Ave, New York, NY 10003",bar,1971,1972,Manhattan,yes
Golden Note,"74-24 37th Ave, Jackson Heights, NY 11372",bar,1971,1972,Queens ,yes
Gas Station,"80 Grove St, New York, NY 10014",bar,1971,1972,Manhattan,yes
Gold Bug,"83 W 3rd St, New York, NY 10012",bar/disco,1971,1972,Manhattan,yes
El Mirador,"899 1st Ave, New York, NY 10022",restaurant,1971,1972,Manhattan,yes
Beaded Bag,"951 1st Ave, New York, NY 10022",restaurant,1971,1972,Manhattan,yes
Shaft,"181 2nd Ave, New York, NY 10003",juice-bar,1971,1972,Manhattan,yes
The Jungle,"303 E 60th St, New York, NY 10022",juice-bar,1971,1972,Manhattan,yes
The Zoo,"303 E 60th St, New York, NY 10022",juice-bar,1971,1972,Manhattan,yes
Taggariss House,"108 E 41st St, New York, NY 10168",bar,1972,1973,Manhattan,yes
John's Joynt,"1154 1st Ave., New York, NY 10065",bar,1972,1973,Manhattan,yes
Piper's Lounge,"1201 Lexington Ave, New York, NY 10028",bar,1972,1973,Manhattan,yes
Kooky's,"149 W 14th St, New York, NY 10011",bar,1965,1973,Manhattan,yes
Roundtable,"151 E 50th St, New York, NY 10022",disco,1971,1973,Manhattan,yes
