name,address,type,opened,closed,borough,date approx.,latitude,longitude
Incentra Village House,"32 8th Ave, New York, NY 10014",hotel,1841,2025,Manhattan,no,40.737892705463,-74.004344658984
Kauffman Saddlery Co,"139 E 24th St, New York, NY 10010",sex shop,1875,1991,Manhattan,yes,40.740632009397,-73.985200578477
Albert Hotel,"23 E 10th St, New York, NY 10003",hotel,1886,2025,Manhattan,yes,40.732753917759,-73.993710706829
Everard baths,"28 W 28th St, New York, NY 10001",baths,1888,1986,Manhattan,no,40.745335123427,-73.989001380167
YMCA- West Side Branch,"5 W 63rd St, New York, NY 10023",hotel,1896,2025,Manhattan,no,40.770949966967,-73.980948671096
Marlton Hotel,"5 W 8th St, New York, NY 10011",hotel,1900,2025,Manhattan,no,40.732417659189,-73.996580798396
Earle Hotel,"103 Waverly Pl, New York, NY 10011",hotel,1902,2025,Manhattan,no,40.732338504435,-73.998715973334
Lyric,"213 West 42nd Street, New York, NY 10036",theatre,1903,1992,Manhattan,yes,40.756250409966,-73.987311874446
Amsterdam,"214 W 42nd St, New York, NY 10036",theatre,1903,2025,Manhattan,no,40.756173570281,-73.987440688828
Van Rensselaser Hotel,"17 E 11th St, New York, NY 10003",hotel,1912,1973,Manhattan,yes,40.733666059602,-73.994018391865
Selwyn,"229 W 42nd St, New York, NY 10036",theatre,1912,1995,Manhattan,yes,40.756436740755,-73.987753884598
Empire,"234 W 42nd St, New York, NY 10036",theatre,1912,1985,Manhattan,yes,40.756406483767,-73.987993201518
New Saint Marks,"6 St Marks Pl, New York, NY 10003",baths,1913,1978,Manhattan,no,40.72936997662,-73.989627631651
Greenwich Village Waterfront,"393 West St, New York, NY 10014",cruising,1914,2001,Manhattan,yes,40.732884384475,-74.010120615619
New Yorker,"2418 Broadway, New York, NY 10024",cruising at movies,1914,1985,Manhattan,yes,40.790136884141,-73.974996344769
Mt. Morris Baths,"28 W 125th St, New York, NY 10027",baths,1920,2003,Manhattan,yes,40.806742759745,-73.943203427762
Hotel St. George,"51 Clark St, Brooklyn, NY 11201",hotel,1920,1978,Brooklyn,,40.697852385156,-73.994260645553
Ye Waverly Inn,"16 Bank St, New York, NY 10014",restaurant,1920,2025,Manhattan,no,40.737002513568,-74.002193752801
Apollo,"223 W 42nd St, New York, NY 10036",theatre,1920,1978,Manhattan,yes,40.756366866709,-73.987588130791
Times Square Motor Inn,"W 43rd St & 8th Ave, New York, NY 10036",hotel,1922,1981,Manhattan,yes,40.757904734182,-73.989295554105
Fanelli's,"94 Prince St, New York, NY 10012",restaurant,1922,2025,Manhattan,no,40.724615252736,-73.998688234515
55th Street Playhouse,"7th Ave & W 55th St, New York, NY 10105",cinema,1927,1980,Manhattan,yes,40.764222732653,-73.980979556386
Marie's Crisis,"59 Grove St, New York, NY 10014",bar,1929,2025,Manhattan,no,40.733039150743,-74.003774595842
Julius',"159 W 10th St, New York, NY 10014",bar,1930,2025,Manhattan,no,40.734507837722,-74.001646396833
YMCA- William Sloane House,"356 W 34th St, New York, NY 10001",hotel,1930,1993,Manhattan,no,40.752819689075,-73.995112460292
