name,address,type,opened,closed,borough,date_approx
Incentra Village House,"32 8th Ave, New York, NY 10014",hotel,1841,2025,Manhattan,no
Kauffman Saddlery Co,"139 E 24th St, New York, NY 10010",sex shop,1875,1991,Manhattan,yes
Albert Hotel,"23 E 10th St, New York, NY 10003",hotel,1886,2025,Manhattan,yes
Everard baths,"28 W 28th St, New York, NY 10001",baths,1888,1986,Manhattan,no
Washington Square Park,"Washington Square, New York, NY 10012",cruising,1890,1070,Manhattan,yes
Central Park,"Central Park, New York, NY  10028",cruising ,1890,2025,Manhattan,yes
YMCA- West Side Branch,"5 W 63rd St, New York, NY 10023",hotel,1896,2025,Manhattan,no
Marlton Hotel,"5 W 8th St, New York, NY 10011",hotel,1900,2025,Manhattan,no
Earle Hotel,"103 Waverly Pl, New York, NY 10011",hotel,1902,2025,Manhattan,no
Lyric,"213 West 42nd Street, New York, NY 10036",theatre,1903,1992,Manhattan,yes
Amsterdam,"214 W 42nd St, New York, NY 10036",theatre,1903,2025,Manhattan,no
Van Rensselaser Hotel,"17 E 11th St, New York, NY 10003",hotel,1912,1973,Manhattan,yes
Selwyn,"229 W 42nd St, New York, NY 10036",theatre,1912,1995,Manhattan,yes
Empire,"234 W 42nd St, New York, NY 10036",theatre,1912,1985,Manhattan,yes
New Saint Marks,"6 St Marks Pl, New York, NY 10003",baths,1913,1978,Manhattan,no
Greenwich Village Waterfront,"393 West St, New York, NY 10014",cruising,1914,2001,Manhattan,yes
New Yorker,"2418 Broadway, New York, NY 10024",cruising at movies,1914,1985,Manhattan,yes
Mt. Morris Baths,"28 W 125th St, New York, NY 10027",baths,1920,2003,Manhattan,yes
Hotel St. George,"51 Clark St, Brooklyn, NY 11201",hotel,1920,1978,Brooklyn,
Ye Waverly Inn,"16 Bank St, New York, NY 10014",restaurant,1920,2025,Manhattan,no
Apollo,"223 W 42nd St, New York, NY 10036",theatre,1920,1978,Manhattan,yes
Times Square Motor Inn,"W 43rd St & 8th Ave, New York, NY 10036",hotel,1922,1981,Manhattan,yes
Fanelli's,"94 Prince St, New York, NY 10012",restaurant,1922,2025,Manhattan,no
55th Street Playhouse,"7th Ave & W 55th St, New York, NY 10105",cinema,1927,1980,Manhattan,yes
Marie's Crisis,"59 Grove St, New York, NY 10014",bar,1929,2025,Manhattan,no
Julius',"159 W 10th St, New York, NY 10014",bar,1930,2025,Manhattan,no
YMCA- William Sloane House,"356 W 34th St, New York, NY 10001",hotel,1930,1993,Manhattan,no
Manhattan Towers,"Broadway & W 76th St, New York, NY 10024",hotel,1935,1974,Manhattan,yes
Stauch's baths,"2534 W 15th St, Brooklyn, NY 11214",baths,1940,1983,Brooklyn,yes
Riis Park Beach,"157 Rockaway Beach Blvd, Rockaway Park, NY 11694",cruising,1940,2025,Queens,no
Orchard Beach,"Orchard Beach Cir, City Island Rd, Bronx, NY 10464",cruising,1940,2025,Bronx,yes
Chelsea Mews Guest House,"344 W 15th St, New York, NY 10011",hotel,1941,2025,Manhattan,yes
Elgin Theater,"176 8th Ave, New York, NY 10011",cruising at movies,1942,1978,Manhattan,no
Beekman Place Park/River,"3 Mitchell Pl, New York, NY 10017",cruising,1942,2025,Manhattan,yes
Menemsha Bar,"132 E 57th St, New York, NY 10022",bar,1947,1985,Manhattan,yes
Sandpiper,"86 Mills Ave, Staten Island, NY 10305",bar/restaurant,1950,1988,Staten Island,
Carmine's,"86 Mills Ave, Staten Island, NY 10305",bar/restaurant,1950,1988,Staten Island,
Bon Soir,"40 W 8th St, New York, NY 10011",club,1950,1970,Manhattan,yes
Junior's,"386 Flatbush Avenue EXT, Brooklyn, New York 11201",restaurant,1950,2025,Brooklyn,no
Mayfair Bar & Grill,"3 Hyatt St, Staten Island, NY 10301",bar/restaurant,1952,1979,Staten Island,
Brooklyn Heights Promenade,"5-1 Remsen St, Brooklyn, NY 11201",cruising,1952,1990,Brooklyn,no
Eighty-two Club,"82 E 4th St, New York, NY 10003",club,1953,1978,Manhattan,no
Claret Baths,"1415 Riegelmann Boardwalk, Brooklyn, NY 11224",baths,1960,1970,Brooklyn ,yes
"South Beach, Franklin D. Roosevelt Boardwalk & Parking Lots","642 Father Capodanno Blvd, Staten Island, NY 10305",cruising,1960,2010,Staten Island,no
Cruising Spot,"1000 5th Ave, New York, NY 10028",cruising,1960,2000,Manhattan,yes
Cruising Spot,"106-21 68th Ave, Queens, NY 11375",cruising,1960,2000,Queens,yes
Cruising Spot,"115-98 Park Ln S, Jamaica, NY 11418",cruising,1960,2000,Queens,yes
Cameo Theatre,"128 W 44th St, New York, NY 10036",cruising,1960,2000,Manhattan,yes
Cruising Spot,"1471 Broadway, New York, NY 10036",cruising,1960,2000,Manhattan,yes
Cruising Spot,"225 W 42nd St, New York, NY 10036",cruising,1960,2000,Manhattan,yes
Metropolitan Theatre,"235 E 14th St, New York, NY 10003",cruising,1960,2000,Manhattan,yes
Brooklyn College,"2900 Bedford Avenue Brooklyn, NY 11210",cruising,1960,2000,Brooklyn,yes
Cruising Spot (subway stations) (PENN STATION ADDRESS),"390 7th Ave., New York, NY 10001",cruising,1960,2000,Manhattan,yes
Automat,"40 W 57th St, New York, NY 10019",cruising,1960,2000,Manhattan,yes
Macy's,"450 7th Ave, New York, NY 10123",cruising,1960,2000,Manhattan,yes
Tunnel cruising spot,"547 W 20th St, New York, NY 10011",cruising,1960,2000,Manhattan,yes
Bloomingdale's,"59th Street and, 1000 Third Avenue, Lexington Ave, New York, NY 10022",cruising,1960,2000,Manhattan,yes
Bus Station,"628 8th Ave, New York, NY 10018",cruising,1960,2000,Manhattan,yes
New School,"66 West 12th Street, New York, NY 10011",cruising,1960,2000,Manhattan,yes
Cruising Spot,"68-12 37th Rd, Woodside, NY 11377",cruising,1960,2000,Queens,yes
Cruising Spot,"6th Ave & Greenwich Ave, New York, NY 10011",cruising,1960,2000,Manhattan,yes
Cruising Spot,"915 3rd Ave, New York, NY 10022",cruising,1960,2000,Manhattan,yes
Cruising Spot,"Bleecker St & Hudson St, New York, NY 10014",cruising,1960,2000,Manhattan,yes
Cruising Spot,"Christopher St & West St, New York, NY 10014",cruising,1960,2000,Manhattan,yes
Cruising Spot,"E 70th St & Third Avenue, New York, NY  10021",cruising,1960,2000,Manhattan,yes
Riverside Park,"R25M+R3, New York, NY 10025",cruising,1960,2000,Manhattan,yes
Bryant Park,"W 42nd St & 5th AveNew York, NY 10036",cruising,1960,2000,Manhattan,yes
Cruising Spot,"W 75th St & Amsterdam Ave, New York, NY  10023",cruising,1960,2000,Manhattan,yes
Cruising Spot,"W 77th St & Central Park W, New York, NY  10024",cruising,1960,2000,Manhattan,yes
Le Club,"416 E 55th St. New York, NY 10022",private club/restaurant,1960,1995,Manhattan,
Pompier Restaurant,"82 W 3rd St, New York, NY 10012",restaurant,1960,1967,Manhattan,no
Variety Theater,"111 3rd Ave, New York, NY 10003",cruising at movies,1960,1990,Manhattan,yes
Park Miller Theater,"151 W 42nd St, New York, NY 10036",cruising at movies,1960,1990,Manhattan,yes
The Kings,"236 W 50th St, New York, NY 10019",cruising at movies,1960,1990,Manhattan,yes
Thalia,"2541 Broadway, New York, NY 10025",cruising at movies,1960,1990,Manhattan,yes
Riverside,"2568 Broadway, New York, NY 10025",cruising at movies,1960,1990,Manhattan,yes
Tomcat Theater,"424 W 42nd St, New York, NY 10036",cruising at movies,1960,1990,Manhattan,yes
Starlite Lounge,"1084 Bergen St, Brooklyn, NY 11216",bar,1962,2010,Brooklyn,no
Ninth Circle,"169 W 10th St, New York, NY 10014",bar/restaurant,1962,2002,Manhattan,yes
Beach Haven Bar,"901 Father Capodanno Blvd, Staten Island, NY 10305",bar,1963,1985,Staten Island,
Tiffany Restaurant,"222 West 4th Street, New York, NY 10014",restaurant,1964,1994,Manhattan,no
Kooky's,"149 W 14th St, New York, NY 10011",bar,1965,1973,Manhattan,
Buddy-Buddy Club,"1400 Clove Rd, Staten Island, NY 10301",bar/restaurant,1965,1976,Staten Island,
